Make,Type,Origin,DriveTrain,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length,MSRP
Subaru,Sports,Asia,All,2,4,227,20,27,3085,99,174,25045
Subaru,Sports,Asia,All,2.5,4,300,18,24,3263,100,174,31545
Subaru,Truck,Asia,All,2.5,4,165,21,28,3485,104,193,24520
Subaru,Wagon,Asia,All,2.5,4,165,21,28,3090,99,175,21445
Subaru,Wagon,Asia,All,2.5,4,165,21,28,3430,104,187,23895
Suzuki,SUV,Asia,Front,2.7,6,185,18,22,3682,110,187,23699
Suzuki,SUV,Asia,All,2.5,6,165,19,22,3020,98,163,17163
Suzuki,Sedan,Asia,Front,2.3,4,155,25,31,2676,98,171,12884
Suzuki,Sedan,Asia,Front,2.3,4,155,25,31,2676,98,171,14500
Suzuki,Sedan,Asia,Front,2,4,119,24,31,2701,102,177,12269
Suzuki,Sedan,Asia,Front,2,4,119,22,30,2756,102,177,15568
Suzuki,Sedan,Asia,Front,2.5,6,155,20,27,3380,106,188,17262
Suzuki,Wagon,Asia,All,2.3,4,155,24,29,2932,98,167,16497
Toyota,Hybrid,Asia,Front,1.5,4,110,59,51,2890,106,175,20510
Toyota,SUV,Asia,All,4.7,8,240,14,17,5270,118,204,35695
Toyota,SUV,Asia,Front,4,6,245,18,21,4035,110,189,27710
Toyota,SUV,Asia,All,3.3,6,230,18,24,3935,107,185,27930
Toyota,SUV,Asia,All,4.7,8,325,13,17,5390,112,193,54765
Toyota,SUV,Asia,All,2.4,4,161,22,27,3119,98,167,20290
Toyota,Sedan,Asia,Front,1.8,4,130,32,40,2502,102,178,14085
Toyota,Sedan,Asia,Front,1.8,4,130,32,40,2524,102,178,15030
Toyota,Sedan,Asia,Front,1.8,4,130,32,40,2524,102,178,15295
Toyota,Sedan,Asia,Front,1.5,4,108,35,43,2035,93,163,10760
Toyota,Sedan,Asia,Front,1.5,4,108,33,39,2085,93,163,11560
Toyota,Sedan,Asia,Front,1.5,4,108,35,43,2055,93,163,11290
Toyota,Sedan,Asia,Front,2.4,4,157,24,33,3086,107,189,19560
Toyota,Sedan,Asia,Front,3,6,210,21,29,3296,107,189,22775
Toyota,Sedan,Asia,Front,2.4,4,157,24,33,3175,107,193,19635
Toyota,Sedan,Asia,Front,3.3,6,225,20,29,3417,107,193,21965
Toyota,Sedan,Asia,Front,3,6,210,21,29,3417,107,192,26560
Toyota,Sedan,Asia,Front,3,6,210,21,29,3362,107,189,25920
Toyota,Sedan,Asia,Front,3.3,6,225,20,29,3439,107,193,26510
Toyota,Sedan,Asia,Front,3,6,210,21,29,3439,107,192,30920
Toyota,Sedan,Asia,Front,3.3,6,230,19,27,4120,119,200,23495
Toyota,Sedan,Asia,Front,3.3,6,230,19,27,4165,119,200,28800
Toyota,Sports,Asia,Front,1.8,4,180,24,33,2500,102,171,22570
Toyota,Sports,Asia,Rear,1.8,4,138,26,32,2195,97,153,25130
Toyota,Truck,Asia,Rear,2.4,4,142,22,27,2750,103,191,12800
Toyota,Truck,Asia,Rear,3.4,6,190,16,18,3925,128,218,16495
Toyota,Truck,Asia,All,3.4,6,190,14,17,4435,128,218,25935
Toyota,Wagon,Asia,Front,1.8,4,130,29,36,2679,102,171,16695
Volkswagen,SUV,Europe,All,3.2,6,220,15,20,5086,112,187,35515
Volkswagen,Sedan,Europe,Front,2,4,115,24,31,2897,99,165,18715
Volkswagen,Sedan,Europe,Front,1.8,4,180,24,31,2934,99,168,19825
Volkswagen,Sedan,Europe,Front,1.9,4,100,38,46,3003,99,172,21055
Volkswagen,Sedan,Europe,Front,1.8,4,150,24,31,2820,99,161,21055
Volkswagen,Sedan,Europe,Front,2.8,6,200,21,30,3179,99,172,23785
Volkswagen,Sedan,Europe,Front,2,4,115,24,30,3082,99,161,23215
Volkswagen,Sedan,Europe,Front,1.8,4,170,22,31,3241,106,185,23955
Volkswagen,Sedan,Europe,Front,2.8,6,190,19,26,3721,106,185,33180
Volkswagen,Sedan,Europe,Front,4,8,270,18,25,3953,106,185,39235
Volkswagen,Sedan,Europe,Front,4.2,8,335,16,22,5194,118,204,65000
Volkswagen,Sedan,Europe,Front,6,12,420,12,19,5399,118,204,75000
Volkswagen,Wagon,Europe,Front,2,4,115,24,30,3034,99,174,19005
Volkswagen,Wagon,Europe,Front,1.8,4,170,22,31,3338,106,184,24955
Volkswagen,Wagon,Europe,Front,4,8,270,18,25,4067,106,184,40235
Volvo,SUV,Europe,All,2.9,6,268,15,20,4638,113,189,41250
Volvo,Sedan,Europe,Front,1.9,4,170,22,29,2767,101,178,25135
Volvo,Sedan,Europe,All,2.5,5,208,20,27,3903,107,180,31745
Volvo,Sedan,Europe,Front,2.3,5,247,20,28,3766,107,180,34845
Volvo,Sedan,Europe,All,2.5,5,300,18,25,3571,107,181,37560
Volvo,Sedan,Europe,Front,2.9,6,208,20,28,3576,110,190,37730
Volvo,Sedan,Europe,All,2.5,5,194,20,27,3691,110,190,37885
Volvo,Sedan,Europe,Front,2.4,5,197,21,28,3450,105,186,40565
Volvo,Sedan,Europe,Front,2.3,5,242,20,26,3450,105,186,42565
Volvo,Sedan,Europe,Front,2.9,6,268,19,26,3653,110,190,45210
Volvo,Wagon,Europe,Front,1.9,4,170,22,29,2822,101,180,26135
Volvo,Wagon,Europe,All,2.5,5,208,20,27,3823,109,186,35145
